ID1,Find,Conven,Suited,Last_Purchase,gender,age,neighbourhood,Work,Browse,Satisfied,Payment,Recommend,Site_Visits,First_Qt,Second_Qt,Third_Qt,Fourth_Qt,Total_Spend,Profit_Percentage
48,Slightly likely,Extremely convenient,Extremely suited,Food,Female,41,Urban,Part-time,Daily,Satisfied,Card,Yes,19,38,59,38,69,204,9
49,Slightly likely,Slightly convenient,Quite suited,Household,Male,33,Rural,Full-time,More than once a week,Partially satisfied,Card,Yes,11,26,26,26,84,162,5
50,Slightly likely,Slightly convenient,Neither suited nor unsuited,Clothes,Male,27,Urban,Full-time,More than once a week,Partially satisfied,Card,Yes,14,8,26,22,48,104,6
51,Extremely unlikely,Quite convenient,Neither suited nor unsuited,Clothes,Male,40,Rural,Full-time,Daily,Satisfied,Card,Yes,19,46,35,46,26,153,12
52,Extremely likely,Quite convenient,Quite suited,Clothes,Male,29,Suburban,Full-time,Once a week,Partially satisfied,Card,Yes,10,12,45,15,21,93,11
53,Extremely unlikely,Neither convenient nor inconvenient,Neither suited nor unsuited,Household,Male,40,Urban,Full-time,Daily,Satisfied,Card,Yes,15,25,26,26,63,140,10
54,Extremely likely,Slightly convenient,Slightly suited,Clothes,Male,25,Suburban,Full-time,More than once a month,Partially satisfied,Card,Yes,11,18,28,12,29,87,10
55,Slightly likely,Neither convenient nor inconvenient,Neither suited nor unsuited,Clothes,Female,25,Suburban,Full-time,Daily,Satisfied,Card,Yes,18,16,16,13,60,105,9
56,Extremely likely,Extremely convenient,Extremely suited,Clothes,Female,31,Urban,Full-time,Once a year,Partially satisfied,Card,No,8,6,14,11,49,80,5
57,Slightly likely,Neither convenient nor inconvenient,Extremely suited,Household,Male,25,Urban,Full-time,More than once a week,Partially satisfied,Card,Yes,13,18,26,26,126,196,14
58,Quite likely,Extremely convenient,Slightly suited,Clothes,Male,26,Urban,Full-time,Once a week,Partially satisfied,Card,Yes,9,26,22,19,70,137,12
59,Quite unlikely,Quite convenient,Slightly suited,Clothes,Male,29,Rural,Full-time,More than once a week,Partially satisfied,PayPal,Yes,11,22,46,22,60,150,10
60,Quite unlikely,Quite convenient,Neither suited nor unsuited,Clothes,Female,29,Rural,Part-time,Once a week,Partially satisfied,Card,Yes,12,14,18,16,147,195,9
61,Slightly likely,Quite convenient,Extremely suited,Clothes,Female,25,Rural,Full-time,Daily,Satisfied,Card,Yes,14,40,52,40,35,167,12
62,Slightly likely,Slightly convenient,Extremely suited,Food,Female,48,Suburban,Full-time,Daily,Satisfied,Card,Yes,19,46,46,46,75,213,11
63,Slightly likely,Quite convenient,Quite suited,Clothes,Female,18,Suburban,Part-time,Daily,Satisfied,Card,Yes,22,26,26,16,63,131,10
64,Slightly likely,Quite convenient,Quite suited,Clothes,Female,22,Rural,Student,Daily,Satisfied,Card,Yes,12,14,31,14,105,164,10
65,Slightly likely,Neither convenient nor inconvenient,Extremely suited,Food,Female,23,Suburban,Student,Daily,Satisfied,Card,Yes,8,52,59,38,39,188,9
66,Slightly likely,Neither convenient nor inconvenient,Neither suited nor unsuited,Food,Male,27,Suburban,Part-time,Daily,Satisfied,Card,Yes,19,28,38,26,69,161,5
67,Slightly likely,Quite convenient,Quite suited,Food,Male,22,Urban,Student,Daily,Satisfied,PayPal,Yes,16,14,14,14,56,98,14
68,Slightly likely,Slightly convenient,Neither suited nor unsuited,Household,Male,21,Rural,Part-time,More than once a month,Partially satisfied,Card,No,8,22,45,38,30,135,12
69,Slightly likely,Slightly convenient,Slightly suited,Clothes,Female,21,Suburban,Part-time,Daily,Satisfied,Card,Yes,12,46,40,46,55,187,10
70,Slightly likely,Quite convenient,Quite suited,Household,Female,25,Urban,Part-time,Daily,Satisfied,Card,Yes,15,26,26,26,94,172,9
71,Slightly likely,Extremely convenient,Extremely suited,Household,Female,23,Suburban,Part-time,Daily,Satisfied,PayPal,Yes,17,22,16,26,56,120,10
72,Slightly likely,Quite convenient,Slightly suited,Food,Female,20,Suburban,Part-time,Daily,Satisfied,Card,Yes,8,45,59,28,36,168,6
73,Extremely likely,Quite convenient,Slightly suited,Food,Male,24,Suburban,Part-time,Daily,Satisfied,Card,Yes,19,25,31,24,50,130,12
74,Extremely likely,Neither convenient nor inconvenient,Neither suited nor unsuited,Food,Female,20,Rural,Part-time,Daily,Satisfied,Card,Yes,14,34,38,38,64,174,14
75,Extremely likely,Slightly convenient,Slightly suited,Household,Male,21,Urban,Student,Daily,Partially satisfied,Card,No,15,14,14,14,147,189,20
76,Extremely likely,Extremely convenient,Extremely suited,Household,Female,29,Rural,Part-time,Daily,Satisfied,Card,Yes,17,35,35,35,90,195,14
77,Extremely likely,Quite convenient,Quite suited,Food,Male,40,Urban,Part-time,Daily,Satisfied,PayPal,Yes,12,46,40,25,12,123,12
78,Extremely likely,Quite convenient,Neither suited nor unsuited,Household,Female,20,Urban,Part-time,Once a week,Partially satisfied,Card,No,8,14,40,11,147,212,25
79,Extremely likely,Neither convenient nor inconvenient,Quite suited,Clothes,Male,22,Suburban,Part-time,Daily,Satisfied,Card,Yes,15,19,30,28,84,161,12
80,Extremely likely,Extremely convenient,Extremely suited,Clothes,Female,18,Suburban,Part-time,Once every few months,Partially satisfied,Card,Yes,8,9,25,12,20,66,9
81,Extremely likely,Extremely convenient,Extremely suited,Clothes,Female,24,Rural,Part-time,Daily,Satisfied,Card,Yes,15,22,24,24,32,102,10
82,Extremely likely,Quite convenient,Neither suited nor unsuited,Household,Female,24,Urban,Part-time,More than once a week,Partially satisfied,Card,Yes,15,14,16,16,26,72,8
83,Extremely likely,Slightly convenient,Slightly suited,Household,Female,24,Suburban,Part-time,Once a week,Partially satisfied,Card,Yes,11,20,20,14,42,96,6
84,Extremely likely,Slightly convenient,Slightly suited,Garden,Female,22,Urban,Part-time,More than once a month,Partially satisfied,Card,Yes,13,25,19,22,50,116,10
85,Slightly likely,Slightly convenient,Slightly suited,Clothes,Female,22,Suburban,Part-time,More than once a month,Partially satisfied,Card,Yes,10,10,26,14,32,82,6
86,Slightly likely,Extremely convenient,Extremely suited,Clothes,Male,31,Suburban,Part-time,Daily,Satisfied,Card,Yes,16,59,59,59,47,224,14
87,Extremely likely,Quite convenient,Quite suited,Food,Male,33,Suburban,Full-time,More than once a month,Partially satisfied,PayPal,No,8,59,46,52,31,188,12
88,Extremely likely,Slightly convenient,Slightly suited,Household,Female,22,Suburban,Student,Daily,Satisfied,Card,Yes,12,30,30,30,70,160,12
89,Extremely likely,Slightly convenient,Slightly suited,Household,Female,24,Suburban,Part-time,Daily,Satisfied,Card,Yes,17,26,26,26,105,183,14
90,Extremely likely,Slightly convenient,Slightly suited,Garden,Female,27,Rural,Full-time,Daily,Satisfied,PayPal,Yes,15,46,25,25,40,136,9
91,Extremely likely,Extremely convenient,Extremely suited,Household,Female,21,Suburban,Part-time,Daily,Satisfied,Card,Yes,22,38,38,38,84,198,10
92,Extremely likely,Quite convenient,Quite suited,Household,Male,24,Suburban,Part-time,Once a week,Partially satisfied,Card,Yes,9,9,12,14,6,41,9
93,Extremely likely,Slightly convenient,Extremely suited,Food,Male,27,Rural,Student,Daily,Satisfied,Card,Yes,17,31,26,30,31,118,5
94,Extremely likely,Slightly convenient,Neither suited nor unsuited,Food,Female,21,Suburban,Part-time,Daily,Satisfied,Card,Yes,8,25,26,22,50,123,6
95,Extremely likely,Slightly convenient,Neither suited nor unsuited,Garden,Male,20,Rural,Part-time,More than once a week,Satisfied,Card,Yes,13,22,38,22,45,127,12
96,Extremely likely,Slightly convenient,Slightly suited,Food,Male,22,Rural,Part-time,More than once a week,Partially satisfied,Card,Yes,13,14,19,18,105,156,11
97,Extremely likely,Slightly convenient,Slightly suited,Food,Female,23,Urban,Student,More than once a week,Satisfied,Card,No,17,26,20,16,84,146,15
98,Extremely likely,Quite convenient,Slightly suited,Household,Male,21,Rural,Part-time,Daily,Satisfied,Card,Yes,14,26,22,19,40,107,10
99,Extremely likely,Extremely convenient,Extremely suited,Clothes,Female,21,Rural,Part-time,Once a year,Partially satisfied,Card,Yes,8,9,19,11,12,51,6
100,Extremely likely,Slightly convenient,Quite suited,Household,Male,21,Suburban,Part-time,Daily,Satisfied,Card,Yes,15,34,28,22,33,117,11
101,Extremely likely,Quite convenient,Quite suited,Garden,Female,31,Urban,Part-time,Once a week,Partially satisfied,Card,No,9,14,14,14,57,99,10
102,Extremely likely,Extremely convenient,Extremely suited,Household,Male,23,Urban,Part-time,More than once a week,Partially satisfied,Card,Yes,14,52,52,59,20,183,12
103,Extremely likely,Slightly convenient,Slightly suited,Clothes,Female,29,Rural,Part-time,Once a week,Partially satisfied,PayPal,Yes,14,16,14,16,56,102,8
104,Extremely likely,Slightly convenient,Slightly suited,Food,Male,22,Suburban,Part-time,Daily,Partially satisfied,Card,Yes,16,14,16,14,69,113,10
105,Extremely likely,Quite convenient,Quite suited,Garden,Female,20,Suburban,Part-time,Once a month,Partially satisfied,Card,No,9,38,24,10,31,103,14
106,Extremely likely,Quite convenient,Neither suited nor unsuited,Household,Female,21,Rural,Full-time,Once a month,Partially satisfied,Card,Yes,9,22,22,26,48,118,12
107,Extremely likely,Slightly convenient,Neither suited nor unsuited,Household,Female,26,Urban,Part-time,Once a week,Partially satisfied,Card,Yes,14,26,30,30,60,146,10
108,Slightly likely,Neither convenient nor inconvenient,Quite suited,Clothes,Female,25,Rural,Part-time,Once a month,Satisfied,Card,Yes,16,22,18,25,27,92,8
109,Slightly likely,Quite convenient,Extremely suited,Clothes,Male,28,Rural,Full-time,More than once a week,Satisfied,Card,Yes,10,26,46,15,56,143,10
110,Slightly likely,Quite convenient,Slightly suited,Clothes,Female,21,Rural,Full-time,More than once a month,Partially satisfied,Card,No,8,38,25,15,20,98,6
111,Slightly likely,Quite convenient,Quite suited,Clothes,Female,21,Rural,Full-time,Once a month,Partially satisfied,Card,No,8,40,25,20,12,97,8
112,Slightly likely,Neither convenient nor inconvenient,Slightly suited,Clothes,Female,31,Rural,Student,Once a month,Partially satisfied,Card,No,8,40,25,20,10,95,20
113,Slightly likely,Slightly convenient,Neither suited nor unsuited,Garden,Male,89,Suburban,Full-time,More than once a week,Satisfied,Card,Yes,16,20,19,22,50,111,10
114,Slightly likely,Quite convenient,Quite suited,Clothes,Female,24,Suburban,Part-time,Once a week,Partially satisfied,Card,Yes,11,14,20,14,30,78,10
115,Slightly likely,Quite convenient,Slightly suited,Household,Male,21,Rural,Part-time,Once a week,Partially satisfied,PayPal,Yes,10,14,28,16,43,101,12
116,Extremely likely,Slightly convenient,Slightly suited,Household,Male,24,Rural,Part-time,More than once a week,Satisfied,Card,Yes,18,26,45,31,36,138,16
117,Extremely likely,Quite convenient,Slightly suited,Household,Female,29,Urban,Part-time,Daily,Satisfied,Card,Yes,11,26,26,26,30,108,9
118,Extremely likely,Extremely convenient,Extremely suited,Clothes,Female,29,Suburban,Part-time,Daily,Satisfied,Card,Yes,22,38,59,59,26,182,23
119,Extremely likely,Slightly convenient,Extremely suited,Garden,Male,20,Urban,Part-time,Once a week,Partially satisfied,Card,No,9,26,40,16,60,142,15
120,Extremely likely,Quite convenient,Quite suited,Household,Male,20,Suburban,Full-time,Daily,Partially satisfied,Card,No,9,46,25,35,44,150,10
121,Extremely likely,Quite convenient,Extremely suited,Garden,Male,19,Suburban,Part-time,Daily,Satisfied,Card,Yes,10,19,34,24,100,177,12
122,Extremely likely,Slightly convenient,Extremely suited,Household,Male,23,Urban,Part-time,Daily,Satisfied,Card,Yes,20,38,38,45,28,149,16
123,Extremely likely,Extremely convenient,Extremely suited,Household,Male,27,Urban,Full-time,Daily,Satisfied,Card,Yes,13,34,22,26,20,102,13
124,Extremely likely,Extremely convenient,Extremely suited,Food,Female,25,Rural,Full-time,Daily,Satisfied,PayPal,Yes,22,59,59,59,69,246,10
125,Extremely likely,Quite convenient,Extremely suited,Household,Male,38,Suburban,Full-time,More than once a month,Partially satisfied,Card,Yes,8,13,14,14,42,83,10
126,Extremely likely,Extremely convenient,Extremely suited,Food,Male,25,Urban,Full-time,Daily,Satisfied,Card,Yes,19,59,59,59,69,246,16
127,Slightly likely,Neither convenient nor inconvenient,Extremely suited,Food,Female,24,Urban,Full-time,Daily,Satisfied,Card,Yes,19,52,52,46,147,297,8
128,Extremely likely,Slightly convenient,Quite suited,Clothes,Male,43,Urban,Full-time,More than once a week,Partially satisfied,Card,Yes,11,19,59,19,33,130,21
129,Extremely likely,Extremely convenient,Extremely suited,Food,Female,33,Urban,Full-time,Daily,Satisfied,Card,Yes,19,40,34,40,36,150,15
130,Extremely likely,Extremely convenient,Extremely suited,Household,Female,26,Rural,Full-time,Daily,Satisfied,Card,Yes,19,52,59,38,24,173,11
131,Extremely likely,Extremely convenient,Slightly suited,Household,Male,30,Rural,Full-time,More than once a week,Partially satisfied,Card,Yes,10,14,59,38,68,179,14
132,Slightly likely,Neither convenient nor inconvenient,Neither suited nor unsuited,Household,Female,26,Suburban,Full-time,Daily,Satisfied,Card,Yes,16,26,26,34,27,113,14
133,Slightly likely,Neither convenient nor inconvenient,Neither suited nor unsuited,Household,Male,29,Suburban,Full-time,Daily,Satisfied,Card,Yes,19,26,26,26,21,99,13
134,Slightly likely,Quite convenient,Extremely suited,Clothes,Female,24,Rural,Full-time,Daily,Satisfied,PayPal,Yes,16,16,18,16,73,123,16
135,Slightly likely,Neither convenient nor inconvenient,Neither suited nor unsuited,Clothes,Male,32,Urban,Full-time,Once a week,Partially satisfied,Card,No,10,25,19,19,95,158,11
136,Slightly likely,Neither convenient nor inconvenient,Neither suited nor unsuited,Household,Male,32,Rural,Full-time,More than once a month,Satisfied,Card,Yes,8,26,22,22,48,118,23
137,Slightly likely,Extremely convenient,Neither suited nor unsuited,Clothes,Female,36,Urban,Full-time,Daily,Satisfied,Card,Yes,14,20,22,22,48,112,15
138,Slightly likely,Neither convenient nor inconvenient,Neither suited nor unsuited,Clothes,Female,36,Suburban,Full-time,More than once a week,Partially satisfied,Card,Yes,13,22,24,31,126,203,10
139,Slightly likely,Extremely convenient,Quite suited,Food,Male,56,Suburban,Full-time,Daily,Partially satisfied,Card,Yes,16,15,38,52,9,114,12
140,Slightly likely,Neither convenient nor inconvenient,Slightly suited,Clothes,Female,34,Suburban,Full-time,Daily,Satisfied,Card,Yes,13,22,16,14,25,77,10
141,Slightly likely,Quite convenient,Extremely suited,Clothes,Female,28,Suburban,Full-time,More than once a week,Partially satisfied,PayPal,Yes,15,40,38,34,77,189,20
142,Slightly likely,Slightly convenient,Quite suited,Household,Female,23,Suburban,Full-time,Daily,Satisfied,Card,Yes,14,22,59,28,28,137,19
143,Slightly likely,Extremely convenient,Extremely suited,Household,Female,28,Urban,Part-time,Daily,Satisfied,Card,Yes,8,35,30,31,49,145,23
144,Slightly likely,Extremely convenient,Extremely suited,Food,Male,27,Rural,Full-time,Daily,Satisfied,Card,Yes,19,15,59,45,69,188,22
145,Extremely likely,Quite convenient,Slightly suited,Clothes,Female,32,Rural,Part-time,Once a week,Partially satisfied,Card,No,11,16,22,14,22,74,10
146,Extremely likely,Quite convenient,Neither suited nor unsuited,Clothes,Female,33,Suburban,Full-time,More than once a week,Partially satisfied,Card,Yes,12,20,26,25,42,113,12
147,Extremely likely,Quite convenient,Neither suited nor unsuited,Garden,Female,31,Urban,Full-time,Once a week,Partially satisfied,Card,Yes,13,16,15,18,114,163,14
148,Extremely likely,Extremely convenient,Extremely suited,Food,Male,29,Suburban,Full-time,Daily,Satisfied,Card,Yes,19,38,59,59,69,225,25
149,Extremely likely,Neither convenient nor inconvenient,Neither suited nor unsuited,Food,Female,28,Urban,Part-time,Daily,Satisfied,Card,Yes,14,25,45,28,38,136,16
150,Extremely likely,Quite convenient,Extremely suited,Clothes,Female,25,Rural,Full-time,Once a week,Partially satisfied,Card,Yes,11,22,25,26,15,88,10
151,Extremely likely,Slightly convenient,Slightly suited,Food,Female,19,Suburban,Full-time,Daily,Satisfied,Card,Yes,15,22,52,30,48,152,23
152,Extremely likely,Quite convenient,Slightly suited,Clothes,Male,22,Suburban,Full-time,Once a week,Partially satisfied,Card,No,8,26,52,14,20,112,14
153,Extremely likely,Slightly convenient,Quite suited,Household,Male,20,Suburban,Full-time,Daily,Satisfied,Card,Yes,17,45,52,52,50,199,20
154,Extremely likely,Quite convenient,Neither suited nor unsuited,Clothes,Female,20,Urban,Full-time,Daily,Satisfied,Card,Yes,15,22,38,34,33,127,14
155,Extremely likely,Extremely convenient,Extremely suited,Household,Male,22,Suburban,Full-time,Daily,Satisfied,Card,Yes,17,35,59,45,69,208,12
156,Extremely likely,Neither convenient nor inconvenient,Quite suited,Household,Female,18,Suburban,Full-time,Daily,Satisfied,PayPal,Yes,18,22,59,22,84,187,25
157,Extremely likely,Extremely convenient,Extremely suited,Food,Male,30,Suburban,Full-time,Daily,Satisfied,Card,Yes,22,26,26,38,31,121,12
158,Extremely likely,Quite convenient,Quite suited,Clothes,Female,20,Suburban,Full-time,More than once a week,Partially satisfied,Card,Yes,10,28,59,22,26,135,9
159,Extremely likely,Slightly convenient,Quite suited,Garden,Female,20,Suburban,Full-time,More than once a week,Partially satisfied,Card,Yes,15,46,52,26,35,159,10
160,Extremely likely,Quite convenient,Neither suited nor unsuited,Clothes,Male,36,Suburban,Full-time,Once a week,Partially satisfied,Card,Yes,12,14,46,14,52,126,8
161,Extremely likely,Neither convenient nor inconvenient,Slightly suited,Household,Female,20,Suburban,Full-time,Daily,Satisfied,Card,Yes,11,31,59,26,30,146,6
162,Extremely likely,Slightly convenient,Quite suited,Food,Female,20,Suburban,Full-time,Daily,Satisfied,Card,Yes,14,46,59,28,24,157,10
163,Extremely likely,Quite convenient,Quite suited,Clothes,Male,19,Rural,Full-time,More than once a week,Partially satisfied,Card,No,10,40,14,16,43,113,6
164,Extremely likely,Neither convenient nor inconvenient,Extremely suited,Food,Female,20,Rural,Student,Daily,Satisfied,Card,Yes,19,38,38,38,62,176,14
165,Extremely likely,Neither convenient nor inconvenient,Quite suited,Clothes,Female,21,Urban,Student,Once a month,Partially satisfied,Card,No,11,26,52,38,15,131,12
166,Extremely likely,Extremely convenient,Extremely suited,Food,Female,22,Suburban,Full-time,Daily,Satisfied,Card,Yes,17,59,59,59,62,239,12
167,Extremely likely,Extremely convenient,Extremely suited,Clothes,Female,19,Suburban,Full-time,More than once a week,Partially satisfied,Card,Yes,16,59,59,45,26,189,14
168,Extremely likely,Neither convenient nor inconvenient,Neither suited nor unsuited,Garden,Male,23,Rural,Full-time,Daily,Satisfied,Card,Yes,16,46,26,30,8,110,9
169,Extremely likely,Extremely convenient,Neither suited nor unsuited,Clothes,Female,27,Suburban,Full-time,Once a month,Partially satisfied,Card,Yes,8,8,14,12,21,55,10
170,Extremely likely,Extremely convenient,Extremely suited,Food,Female,18,Rural,Full-time,Daily,Satisfied,Card,Yes,20,59,59,38,36,192,9
171,Extremely likely,Quite convenient,Slightly suited,Household,Female,19,Urban,Full-time,More than once a week,Partially satisfied,PayPal,Yes,12,46,34,19,16,115,5
172,Extremely likely,Extremely convenient,Quite suited,Clothes,Female,20,Rural,Full-time,More than once a week,Partially satisfied,Card,No,16,22,59,34,44,159,6
173,Extremely likely,Extremely convenient,Extremely suited,Food,Female,21,Urban,Full-time,Daily,Satisfied,Card,Yes,19,59,59,59,69,246,12
174,Extremely likely,Quite convenient,Extremely suited,Household,Female,18,Urban,Full-time,Daily,Satisfied,Card,Yes,19,31,59,52,12,154,11
175,Extremely likely,Neither convenient nor inconvenient,Neither suited nor unsuited,Clothes,Female,21,Urban,Full-time,Daily,Satisfied,Card,Yes,15,25,26,26,60,137,15
176,Extremely likely,Slightly convenient,Slightly suited,Food,Male,19,Suburban,Full-time,Once a week,Partially satisfied,Card,Yes,10,14,22,22,12,70,10
177,Extremely likely,Neither convenient nor inconvenient,Neither suited nor unsuited,Garden,Female,27,Rural,Full-time,Daily,Satisfied,Card,Yes,16,26,26,26,22,100,6
178,Extremely likely,Slightly convenient,Slightly suited,Clothes,Male,19,Urban,Full-time,Once a week,Partially satisfied,Card,Yes,10,19,38,25,54,136,11
179,Extremely likely,Slightly convenient,Extremely suited,Clothes,Male,18,Rural,Full-time,Daily,Satisfied,Card,Yes,22,45,31,16,82,174,10
